id,score,correct_answer,our_answer
VAL-1,1.0000039184205125,三个级别（0，1，2）。,三个级别（0，1，2）。
VAL-2,0.6117676964953538,value大于10000时。,当磁盘的读速率或写速率大于10000时，会触发危急颜色模式。
VAL-3,0.8206441970163993,`IsReal()` 用来查询是否是 `FLOAT` 或 `DOUBLE` 类型的数据。,`IsReal()` 函数用于查询字段数据是否为实数类型。
VAL-4,0.7290835377414278,200,"""200"""
VAL-5,0.6390059304111798,是的,不是，边关联的两个点的字段不一定是点的主键。
VAL-6,0.7408431910439852,Deletes current edge. The iterator will point to the next out edge if there is any.,`OutEdgeIterator` 类的 `Delete` 方法用于删除当前迭代器指向的边。
VAL-7,0.7738022239862391,"单机模式下，调整配置文件src/server/lgraph_standalone.json，其中verbose配置项控制日志等级，verbose可以设置为0,1,2，对应日志等级可以参考src/server/lgraph_server.cpp中115行至128行。",日志等级可通过配置文件进行调整，具体的配置项一般为 `log_level`，可以设置为不同的等级。
VAL-8,0.829181272880977,“memory”是内存，是用于监控服务性能的重要指标之一。,“memory”指的是机器的内存使用情况，通常包括系统可用内存和已用内存等指标。在图学习任务中，内存性能优化对于处理大型图和有效训练模型至关重要。
VAL-9,0.605424714202568,每次执行查询的结果会追加至画布区域。,如果不选择清空画布数据按钮，导入的数据将会与已有的数据合并，而不会删除或替换当前的画布数据。
VAL-10,0.715894711469287,邮件地址为tugraph@service.alipay.com。,通过邮件提出关于TuGraph产品的建议，您可以直接联系蚂蚁集团的客户服务或支持团队，通常会提供专门的邮箱或联系方式供用户反馈建议。
VAL-11,0.4820628944843077,暂不支持,是的，边索引支持查询加速。添加索引可以提高查询效率，但在数据量大的情况下，构建索引数据可能会消耗一些时间。
VAL-12,0.6949589793390244,TuGraph Monitor负责收集性能指标并将数据包装为Prometheus可以使用的格式。,“TuGraph Monitor的主要功能是以直观的可视化方式呈现图数据，帮助用户管理、维护和查看数据库运行状态，同时支持系统账户的管理。”
VAL-13,0.61079117298508,管理工具为lgraph_peer。,"""TuGraph HA 集群的管理工具是计算巢。"""
VAL-14,0.6482940630218594,通过设置refresh_time和expire_time参数均为0。,通过POST方法修改Token的有效期为无限期，可以将`expire_time`设置为一个永远不会过期的值（如极大的时间戳）。具体操作步骤和接口信息请参考官方文档。
VAL-15,0.8128892182553821,蚂蚁集团与清华大学联合研发的。,“蚂蚁集团和清华大学。”
VAL-16,0.678264968481846,它依赖于TuGraph的数据库管理系统。,“TuGraph已安装”是图学习模块的前置条件。
VAL-17,0.5184207920384503,需要字段名称、字段类型和一个布尔值标识字段是否可选。,"构造FieldSpec时需要以下参数：  
1. 算法所需参数  
2. 算法名称  
3. 配置类内Print函数  "
VAL-18,0.529441322164275,Antlr4 C++ target的并发性能不足以支持所需的超高并发GQL请求。,“主要问题是关联数据爆炸性增长对图计算高效处理提出迫切需求。”
VAL-19,0.5828713274691713,"需要url（如""127.0.0.1:19099""）、user（如""admin""）和password（如""73@TuGraph""）。",实例化单节点client对象需要三个参数：`url`、`user` 和 `password`。
